code,name,update_date,nav,nav_acc,dividend_ratio,volatility_20,momentum_20,drawdown,sharpe_20,mean_reversion
024588,人保鑫利债券E,2025-11-21,1.1403,1.1403,0.0,0.00164386169839505,0.01459204555565452,0.0,0.4415674897065666,0.009307080550724298
014552,中航瑞华ESG一年定开债发起A,2025-11-21,1.0169,1.1319,0.11308879929196577,0.0010257143268280835,0.006831683168316838,-0.00352143674619245,0.33243077468981064,0.0028154569077309707
010486,中航瑞晨87个月定开债C,2025-11-21,1.0351,1.2201,0.1787266930731331,0.00037817224312526067,0.003684669834189691,0.0,0.4864971199518484,0.0021153725137110814
010485,中航瑞晨87个月定开债A,2025-11-21,1.0362,1.2212,0.17853696197645247,0.0003572249868937329,0.0034863451481697005,0.0,0.48733942876547715,0.002001682573757667
006115,人保鑫利债券C,2025-11-21,1.1091,1.1341,0.02254079884591122,0.0016486272047205697,0.014358880556063713,-0.03946811213686793,0.433320019852815,0.009153443004804154
014553,中航瑞华ESG一年定开债发起C,2025-11-21,1.0164,1.1164,0.09838646202282575,0.001024446551686626,0.006635634346835673,-0.004724971026120942,0.32333324259617663,0.002703075982084688
005369,富国臻利纯债定开债券,2025-11-21,1.0938,1.3313,0.21713293106600823,0.0035232696170079086,0.020050359041313026,0.0,0.283523273314893,0.01660888719526368
006114,人保鑫利债券A,2025-11-21,1.1396,1.1646,0.021937521937522055,0.0016315539712127647,0.014601139601139623,-0.023232407951018903,0.4451616059750498,0.009290503139640856
020302,平安惠嘉纯债C,2025-11-21,1.0186,1.0186,0.0,0.0006635287181275627,-0.0006867458059454101,-0.00459298348480421,-0.051451086246026324,0.001533862974907362
020573,万家稳航90天持有期债券C,2025-11-21,1.035,1.035,0.0,0.00017183812793109544,0.0019361084220717029,0.0,0.5629165450276258,0.0010929807422595233
020301,平安惠嘉纯债A,2025-11-21,1.0207,1.0207,0.0,0.0006489416155748733,-0.0005874865367669901,-0.002345811748607133,-0.04496921268396719,0.0016240695945713508
008642,国金惠远纯债A,2025-11-21,1.0166,1.1394,0.12079480621680112,0.0005416176166277986,0.008631808711181632,-0.0017522340984755579,0.7938625328007928,0.00621585240319905
020572,万家稳航90天持有期债券A,2025-11-21,1.0387,1.0387,0.0,0.00015465329376693928,0.002025853752652962,0.0,0.6544102497499994,0.001108380319020755
008643,国金惠远纯债C,2025-11-21,1.0151,1.1139,0.097330312284504,0.0005384363034836546,0.008544461003477277,-0.0031322713441919265,0.7905043726642021,0.0061453067697492154
018509,国泰海通君享利30天滚动持有债券发起A,2025-11-21,1.0773,1.0773,0.0,0.00014613219321306145,0.002792516056967287,0.0,0.9542802981858692,0.0015898251192367706
018510,国泰海通君享利30天滚动持有债券发起C,2025-11-21,1.0731,1.0731,0.0,0.00015863519664711083,0.002709773874042254,0.0,0.8530676604161626,0.0015633385444616943
015482,汇安裕泰纯债债券A,2025-11-21,1.0258,1.0468,0.02047182686683555,0.0005302196256906848,0.004406149025751427,-0.00047741812279188865,0.4148868758684763,0.0005803717305318459
024277,国泰利惠90天滚动持有债券A,2025-11-21,1.012,1.012,0.0,0.00011069241044880867,0.0017818253811126006,0.0,0.8042265146611717,0.000815882512917995
024278,国泰利惠90天滚动持有债券C,2025-11-21,1.0112,1.0112,0.0,0.00011250911628513154,0.0016840019811787954,0.0,0.7478401333364479,0.0008165285166399363
017581,中航瑞融ESG一年定开债发起A,2025-11-21,1.0612,1.0612,0.0,0.0010449783534608541,0.006544626766574968,0.0,0.3126720939213594,0.002153137158614494
020611,东吴恒益纯债债券A,2025-11-21,1.0257,1.0257,0.0,0.0003625049300309406,0.004800156739811934,0.0,0.660748789199193,0.0014792249447122886
013419,交银裕景纯债一年定开债,2025-11-21,1.0083,1.1223,0.11306158881285341,0.009035763152156654,-0.0362263429554579,-0.0032859680284190187,-0.19958704286805756,-0.0018808156800633664
519944,长信富安纯债180天持有债券C,2025-11-21,1.1014,1.4539,0.3200472126384602,0.00010995101046277376,0.002001455604075719,0.0,0.9093459609843197,0.0007632478011191845
007406,银河睿鑫债券,2025-11-21,1.0683,1.1653,0.09079846485069734,0.00021496997830371012,0.007925275969431045,0.0,1.8365431381355564,0.0035508961785594606
019282,华宝宝润债券C,2025-11-21,1.0058,1.0788,0.072579041558958,0.0001287677391839981,0.0017928286852590958,-0.004980630879911521,0.695617243974244,0.000681514055605624
020612,东吴恒益纯债债券C,2025-11-21,1.0228,1.0228,0.0,0.00037143430822069487,0.0046164423926922105,0.0,0.620252310196276,0.0013510602886177448
023579,博时四月兴120天持有期债券A,2025-11-21,1.0043,1.0043,0.0,0.00024397700210440927,0.0024955080854460743,0.0,0.510933430678012,0.0011064703595529703
015483,汇安裕泰纯债债券C,2025-11-21,1.0242,1.0442,0.01952743604764696,0.0005438300531881214,0.004314571484604679,-0.0005742725880550669,0.3961313173996591,0.0004981976965683073
002633,鑫元双债增强债券C,2025-11-21,1.0512,1.2216,0.16210045662100467,0.00018833653836258018,0.0032448940637523904,0.0,0.860226081872369,0.0011666944451056544
023580,博时四月兴120天持有期债券C,2025-11-21,1.0039,1.0039,0.0,0.00023620110140032557,0.0022963258785941854,0.0,0.48567825204804393,0.001047016004387491
003023,博时景发纯债债券A,2025-11-21,1.1923,1.2471,0.04596158684894757,7.924287005849558e-05,0.0007554137988918797,-0.02034564021995272,0.47651134070868606,0.00031042091397983225
014713,恒生前海恒裕债券C,2025-11-21,1.1319,1.2456,0.10045056983832507,6.351718422907248e-05,0.0019474196689386325,0.0,1.5316003712653115,0.0008267276175654491
005722,前海联合泓瑞定开债券,2025-11-21,1.1227,1.2683,0.12968736082657872,7.312726611936903e-05,0.0007130760317319851,-0.004864652805021564,0.48742791454034146,0.0003163020283425375
008565,泰康安泽中短债A,2025-11-21,1.123,1.123,0.0,7.79865380584917e-05,0.0011589551573505386,0.0,0.7426765108663392,0.0004855428502701825
006806,西部利得添盈短债债券A,2025-11-21,1.1233,1.1333,0.008902341315766055,0.0001459591285488187,0.0025883612995358796,0.0,0.8856543323462982,0.0010738841185460237
006808,西部利得添盈短债债券E,2025-11-21,1.1151,1.1151,0.0,0.0001464348706940013,0.0024271844660193054,0.0,0.8278746090526738,0.0009874326750447745
000032,易方达信用债债券A,2025-11-21,1.1223,1.6243,0.4472957319789717,0.0009915971411089482,-0.0023113165614720987,-0.0037414131501471997,-0.11620102588400869,0.00028075241647621424
006807,西部利得添盈短债债券C,2025-11-21,1.1194,1.1194,0.0,0.0001573514256511732,0.0025076123947698203,0.0,0.7959462609177603,0.0009836358758829283
014712,恒生前海恒裕债券A,2025-11-21,1.1085,1.2476,0.1254848894903022,8.428565449627818e-05,0.0020791900198877666,0.0,1.232242215321066,0.0008803413015507081
025642,恒生前海恒裕债券E,2025-11-21,1.1085,1.1085,0.0,8.428565449509881e-05,0.0020791900198877666,0.0,1.2322422153383081,0.0008803413015507081
013979,惠升和赢纯债3个月定开C,2025-11-21,1.1009,1.1189,0.016350258879098935,0.0003654908302688607,0.0028238294771358863,0.0,0.38596287201674634,0.0006908211682148379
013978,惠升和赢纯债3个月定开A,2025-11-21,1.1064,1.1274,0.018980477223427248,0.0003648050540633877,0.0029006526468455807,0.0,0.3971885518552699,0.0007552699298549984
519945,长信富安纯债180天持有债券A,2025-11-21,1.1052,1.4953,0.3529677886355412,9.10961736905206e-05,0.0021762785636560977,0.0,1.193305267979228,0.000819527390778672
007703,万家鑫盛纯债A,2025-11-21,1.0814,1.1648,0.07712224893656384,9.144777331901758e-05,0.0015745114383622916,0.0,0.860280387445982,0.0006292101561921811
019451,中欧兴悦债券C,2025-11-21,1.0802,1.1083,0.02601370116645067,0.00023574328196737846,0.003996653964122965,0.0,0.8461777036998066,0.001172452464699052
001212,华润元大稳健债券A,2025-11-21,1.0853,1.1552,0.06440615498018988,0.000580351375049006,0.009393601190476275,0.0,0.8059890710204116,0.0046701936116935044
012240,中欧兴悦债券A,2025-11-21,1.0808,1.1139,0.030625462620281187,0.00023299330305920872,0.0041809904301775,0.0,0.8955676231462183,0.0012831024212188729
016889,鹏华稳健增利债券A,2025-11-21,1.0686,1.0686,0.0,0.000287074581780527,0.0042289258528334095,-0.006230819306240053,0.7352160564921078,0.0028623715452113906
009407,格林泓远纯债A,2025-11-21,1.0626,1.1706,0.10163749294184087,0.002253858240605535,0.0053931308543855305,0.0,0.12040680953643712,0.003138939368908001
002632,鑫元双债增强债券A,2025-11-21,1.0595,1.2584,0.18773006134969308,0.0001787041824211138,0.0035995074358246004,0.0,1.0054803284569174,0.00125215583433765
009408,格林泓远纯债C,2025-11-21,1.0591,1.0591,0.0,0.002260398389659339,0.0053156146179400565,0.0,0.11835864116638242,0.0030780887436662172
270043,广发理财年年红债券A,2025-11-21,1.0523,1.4337,0.36244416991352274,7.731864133896232e-05,0.002190476190476076,0.0,1.4150902289322274,0.0010797543677730026
009088,太平中债1-3年政策性金融债C,2025-11-21,1.0441,1.1373,0.08926348050952969,0.00012554332084715263,0.002207717412171295,0.0,0.8784040701173969,0.0007332256657736054
024100,东海润兴债券A,2025-11-21,1.0438,1.0438,0.0,0.00016438881679959875,0.0021121351766513197,0.0,0.6418550181359841,0.0006758732426096909
009523,宝盈聚福39个月定开债A,2025-11-21,1.0463,1.1674,0.11574118321705054,0.00015065503618606662,0.0028754912297519475,0.0,0.9531000980655251,0.001210485773203837
009524,宝盈聚福39个月定开债C,2025-11-21,1.0411,1.1537,0.10815483623090966,0.000144478831251872,0.002696715785418302,0.0,0.932131620982852,0.0011298891747002413
025241,浙商惠南纯债C,2025-11-21,1.0383,1.0383,0.0,8.899827164311224e-05,0.0013501784164335895,0.0,0.7580981469427246,0.0007759073537703262
020813,鑫元佳享120天持有债券A,2025-11-21,1.0387,1.0387,0.0,0.00010019854730591502,0.0016393442622950616,0.0,0.8174591855094688,0.0005056950899413747
019851,汇添富稳宏6个月持有债券A,2025-11-21,1.0345,1.0345,0.0,0.00041333962762606194,0.005540435458786908,0.0,0.6686425121603571,0.0014133044219004267
018458,华润元大润享三个月定开债A,2025-11-21,1.0334,1.0974,0.06193148829107783,0.00025515630933519345,0.004275996112730995,0.0,0.8363409454559063,0.0013662923090341315
020814,鑫元佳享120天持有债券C,2025-11-21,1.0358,1.0358,0.0,0.00012486115508813774,0.0014502562119307338,0.0,0.5804071813439895,0.00042014168916272343
016765,百嘉百盈纯债债券,2025-11-21,1.0278,1.0786,0.049425958357657084,0.000619492045131303,0.013010053222945128,0.0,1.043917251101391,0.0069362802727486236
016890,鹏华稳健增利债券C,2025-11-21,1.0278,1.0278,0.0,0.0003001865715857901,0.004103165298944944,-0.006668599594085152,0.6822498869598935,0.002824652040920956
008484,格林泓裕一年定开债A,2025-11-21,1.0189,1.0767,0.05672784375306711,6.587594709019787e-05,0.0012775157232702838,0.0,0.9690808434654895,0.0006580045765690938
014848,宏利闽利一年定开债券发起式,2025-11-21,1.0274,1.0988,0.06949581467782744,0.0001178677472143276,0.0021459227467812703,0.0,0.9094389440041947,0.0010913201075729915
022221,鹏华稳健增利债券E,2025-11-21,1.0187,1.0187,0.0,0.00029360034199327965,0.004041001379854192,-0.007018227897455985,0.687002538047429,0.002770982936060688
009212,易方达恒茂39个月定开债券,2025-11-21,1.0168,1.1623,0.1430959874114872,0.00019316013181210046,0.003058103975535076,0.0,0.7905422453981956,0.0012308601250553626
014435,中航瑞夏一年定开债发起A,2025-11-21,1.0124,1.1044,0.09087317265902814,0.0008584523611902124,0.003867129400099145,-0.0008142585723332136,0.22523262881056105,0.0011174068250811883
019668,中航瑞安利率债三个月定开债A,2025-11-21,1.013,1.045,0.03158933859822313,0.000780950379543969,0.0034670629024267097,0.0,0.22198268431194712,0.00107222444572914
008316,蜂巢添跃66个月定开债,2025-11-21,1.0126,1.1976,0.18269800513529535,9.347547875101758e-05,0.003070827142149568,0.0,1.6402375529629556,0.001409251613222251
023327,恒生前海福瑞30天持有期债券A,2025-11-21,1.0112,1.0112,0.0,7.93674110765415e-05,0.0025778306563555287,0.0,1.6220381019930492,0.0010790903960955097
019669,中航瑞安利率债三个月定开债C,2025-11-21,1.0106,1.0426,0.03166435780724325,0.0007828107783864855,0.0034753251911427974,0.0,0.22198288674631303,0.0010747735298633529
023328,恒生前海福瑞30天持有期债券C,2025-11-21,1.009,1.009,0.0,9.037674601116464e-05,0.0024838549428711776,0.0,1.372591309210197,0.0010268213678053277
020527,大成惠嘉一年定开债券C,2025-11-21,1.0097,1.0097,0.0,9.040436995515863e-05,0.0017858914574859774,-0.004338822601321329,0.9869301013546983,0.0007929428090000337
